RESULTADOS HEURISTICA SOFTCLUVRP
==================================================
Instancia                 Tiempo(s)    Costo Total    
----------------------------------------------------
A/A-n32-k5-C11-V2         4.0367       664.41         
A/A-n32-k5-C16-V2         2.8212       688.86         
A/A-n33-k5-C11-V2         2.7400       492.71         
A/A-n33-k5-C17-V3         2.9853       575.47         
A/A-n33-k6-C11-V2         2.6666       563.92         
A/A-n33-k6-C17-V3         2.8635       724.86         
A/A-n34-k5-C12-V2         2.7555       572.02         
A/A-n34-k5-C17-V3         2.9258       691.01         
A/A-n36-k5-C12-V2         2.9333       620.47         
A/A-n36-k5-C18-V2         2.8666       569.42         
A/A-n37-k5-C13-V2         2.8519       673.86         
A/A-n37-k5-C19-V3         2.9882       755.39         
A/A-n37-k6-C13-V2         2.9083       701.91         
A/A-n37-k6-C19-V3         3.0378       747.51         
A/A-n38-k5-C13-V2         2.8389       559.03         
A/A-n38-k5-C19-V3         2.9229       593.30         
A/A-n39-k5-C13-V2         2.8636       675.83         
A/A-n39-k5-C20-V3         3.2074       880.91         
A/A-n39-k6-C13-V2         3.0238       721.39         
A/A-n39-k6-C20-V3         3.0404       712.29         
A/A-n44-k6-C15-V2         2.9955       713.88         
A/A-n44-k6-C22-V3         3.1717       826.83         
A/A-n45-k6-C15-V3         3.1806       856.47         
A/A-n45-k6-C23-V4         3.2026       1116.24        
A/A-n45-k7-C15-V3         3.0917       743.30         
A/A-n45-k7-C23-V4         3.1732       867.61         
A/A-n46-k7-C16-V3         3.1251       749.93         
A/A-n46-k7-C23-V4         3.1112       931.14         
A/A-n48-k7-C16-V3         3.1467       1053.17        
A/A-n48-k7-C24-V4         3.2787       954.63         
A/A-n53-k7-C18-V3         3.4476       681.23         
A/A-n53-k7-C27-V4         3.4674       1025.56        
A/A-n54-k7-C18-V3         3.3752       918.88         
A/A-n54-k7-C27-V4         3.6224       1021.46        
A/A-n55-k9-C19-V3         3.2866       725.40         
A/A-n55-k9-C28-V5         3.4283       935.85         
A/A-n60-k9-C20-V3         3.3666       934.34         
A/A-n60-k9-C30-V5         4.5708       1145.18        
A/A-n61-k9-C21-V4         4.0769       774.76         
A/A-n61-k9-C31-V5         3.9389       904.82         
A/A-n62-k8-C21-V3         4.0051       895.37         
A/A-n62-k8-C31-V4         3.7583       1207.58        
A/A-n63-k10-C21-V4        3.3956       1010.36        
A/A-n63-k10-C32-V5        3.7743       1252.64        
A/A-n63-k9-C21-V3         3.6914       1206.07        
A/A-n63-k9-C32-V5         3.6657       1489.62        
A/A-n64-k9-C22-V3         4.1393       876.66         
A/A-n64-k9-C32-V5         4.7078       1280.89        
A/A-n65-k9-C22-V3         4.0705       763.23         
A/A-n65-k9-C33-V5         4.7535       874.09         
A/A-n69-k9-C23-V3         4.3967       894.49         
A/A-n69-k9-C35-V5         4.4510       1099.19        
A/A-n80-k10-C27-V4        4.5235       1342.84        
A/A-n80-k10-C40-V5        4.7310       1665.89        
B/B-n31-k5-C11-V2         2.6476       538.04         
B/B-n31-k5-C16-V3         2.8901       421.21         
B/B-n34-k5-C12-V2         3.2111       453.45         
B/B-n34-k5-C17-V3         3.1398       522.53         
B/B-n35-k5-C12-V2         2.8960       557.69         
B/B-n35-k5-C18-V3         2.9825       823.88         
B/B-n38-k6-C13-V2         2.9422       426.33         
B/B-n38-k6-C19-V3         3.1372       564.60         
B/B-n39-k5-C13-V2         2.9910       323.08         
B/B-n39-k5-C20-V3         3.0752       473.81         
B/B-n41-k6-C14-V2         2.7182       632.58         
B/B-n41-k6-C21-V3         3.1534       652.04         
B/B-n43-k6-C15-V2         3.2634       603.07         
B/B-n43-k6-C22-V3         2.9653       594.31         
B/B-n44-k7-C15-V3         2.8864       583.67         
B/B-n44-k7-C22-V4         2.9365       463.67         
B/B-n45-k5-C15-V2         2.9997       526.48         
B/B-n45-k5-C23-V3         3.0293       800.09         
B/B-n45-k6-C15-V2         3.0017       384.04         
B/B-n45-k6-C23-V4         3.1333       608.40         
B/B-n50-k7-C17-V3         3.1100       450.31         
B/B-n50-k7-C25-V4         3.1540       506.33         
B/B-n50-k8-C17-V3         2.9917       920.23         
B/B-n50-k8-C25-V5         3.1891       1211.24        
B/B-n51-k7-C17-V3         3.1368       694.61         
B/B-n51-k7-C26-V4         3.2229       798.91         
B/B-n52-k7-C18-V3         3.1618       545.30         
B/B-n52-k7-C26-V4         3.3228       754.21         
B/B-n56-k7-C19-V3         3.3877       607.30         
B/B-n56-k7-C28-V4         3.4087       806.80         
B/B-n57-k7-C19-V3         3.1322       741.26         
B/B-n57-k7-C29-V4         3.3904       885.13         
B/B-n57-k9-C19-V3         3.2631       931.04         
B/B-n57-k9-C29-V5         3.5419       1424.84        
B/B-n63-k10-C21-V3        3.3825       951.28         
B/B-n63-k10-C32-V5        3.9559       1262.79        
B/B-n64-k9-C22-V4         3.5170       670.99         
B/B-n64-k9-C32-V5         3.5311       668.06         
B/B-n66-k9-C22-V3         3.5104       760.20         
B/B-n66-k9-C33-V5         3.5937       1245.97        
B/B-n67-k10-C23-V4        3.4976       676.94         
B/B-n67-k10-C34-V5        3.8378       947.19         
B/B-n68-k9-C23-V3         3.6115       736.01         
B/B-n68-k9-C34-V5         3.8735       1080.37        
B/B-n78-k10-C26-V4        3.7884       748.69         
B/B-n78-k10-C39-V5        4.2180       1094.13        
Golden/Golden_1-C17-N241  10.7265      4383.25        
Golden/Golden_1-C18-N241  10.6501      4371.36        
Golden/Golden_1-C19-N241  10.6339      4377.90        
Golden/Golden_1-C21-N241  10.8774      4381.90        
Golden/Golden_1-C22-N241  13.8385      4370.06        
Golden/Golden_1-C25-N241  9.9218       5546.02        
Golden/Golden_1-C27-N241  9.4437       5342.40        
Golden/Golden_1-C31-N241  9.6307       5278.51        
Golden/Golden_1-C35-N241  10.1646      5199.84        
Golden/Golden_1-C41-N241  8.9821       5515.38        
Golden/Golden_1-C49-N241  9.7551       5959.45        
Golden/Golden_10-C22-N324 11.9920      596.47         
Golden/Golden_10-C24-N324 10.7605      624.13         
Golden/Golden_10-C25-N324 12.3221      601.58         
Golden/Golden_10-C27-N324 12.7365      609.17         
Golden/Golden_10-C30-N324 14.1568      619.75         
Golden/Golden_10-C33-N324 12.0101      638.48         
Golden/Golden_10-C36-N324 11.9234      657.90         
Golden/Golden_10-C41-N324 12.3071      663.11         
Golden/Golden_10-C47-N324 12.3366      654.78         
Golden/Golden_10-C54-N324 16.0883      657.49         
Golden/Golden_10-C65-N324 13.6862      650.96         
Golden/Golden_11-C27-N400 15.0744      747.85         
Golden/Golden_11-C29-N400 15.9334      720.59         
Golden/Golden_11-C31-N400 16.4621      719.58         
Golden/Golden_11-C34-N400 14.0646      759.91         
Golden/Golden_11-C37-N400 15.0056      785.73         
Golden/Golden_11-C40-N400 13.0014      747.89         
Golden/Golden_11-C45-N400 15.5096      762.44         
Golden/Golden_11-C50-N400 14.7430      758.28         
